ID,Name,DisplayName,Description,GameQuality,Quality,MaxStackCount,DefaultStackCount,PriceEach,Category,IsAddon
65,"Walkie_Talkie02","军用对讲机","经过加密的军用对讲机。",4,Blue,1,1,2312,"Electric",False
66,"FlashGrenade","闪光手雷","眩晕敌人。",2,White,1,1,205,"Explosive",False
67,"Grenade","手雷","手雷。",2,White,1,1,300,"Explosive",False
68,"Chocalate","巧克力","有人说它能减肥。",3,Green,3,1,433,"Food",False
69,"EnergyStick","能量棒","吃了就不饿了，但是会渴。",3,White,3,1,371,"Food",False
70,"Honey","蜂蜜","很甜很甜。",3,White,3,1,320,"Food",False
71,"Ketchup","番茄酱","酸酸甜甜的番茄酱。不好吃。",2,White,3,1,127,"Food",False
72,"Book","书","胡扯的书。",1,Green,1,1,449,"Information",False
73,"Letter","信件","一封信件。",1,White,1,1,242,"Information",False
74,"Key_BlueHouse","安全屋隔间钥匙","能够打开仓库区中安全屋隔间的钥匙。",3,White,1,1,101,"Key",False
75,"AirplaneToy","飞机模型","航空公司售卖的飞机模型，做工劣质。",1,Green,1,1,998,"Luxury",False
76,"Ball","足球","气不太够的足球。",1,Green,1,1,845,"Luxury",False
77,"BicyleToy","自行车模型","精致的自行车模型。",2,Blue,1,1,1432,"Luxury",False
78,"Cannon","大炮","玩具大炮。",1,Green,1,1,1045,"Luxury",False
79,"Compass","指南针","精致的指南针。",3,Purple,1,1,3070,"Luxury",False
80,"Dice 2","骰子","一个外表十分正常的骰子，但是感觉有点偏坠。",2,Blue,1,1,1570,"Luxury",False
81,"Dice","骰子","一个正常的骰子。",2,Green,1,1,1195,"Luxury",False
82,"Fish","玩具鱼","浓浓的塑料味。",1,Green,1,1,895,"Luxury",False
83,"Watch","怀表","银色的怀表。",4,Purple,1,1,4718,"Luxury",False
84,"Egg","鸭蛋","没人要的蛋。",1,White,4,1,87,"Food",False
85,"Heat","铝热剂","非常不易燃。",3,Green,1,1,559,"Tool",False
86,"Propane","丙烷","装满丙烷的罐子。",3,Green,1,1,1006,"Tool",False
87,"Rope","绳子","攀登用的绳子。",2,White,1,1,200,"Tool",False
88,"Drugs","一堆药","不能吃，里面什么都有。",1,White,5,1,127,"Medic",False
89,"Lv","输液药品","一些静脉注射用的药品。",2,White,1,1,192,"Medic",False
90,"Broom","扫帚","普通的扫帚。",99,White,1,1,258,"Tool",False
91,"Driver","平头螺丝刀","平头螺丝刀。",2,White,1,1,237,"Tool",False
92,"ElectricSaw","电锯","小巧的电锯。",9,White,1,1,375,"Tool",False
93,"GasCanL","金属桶","盛装汽油的金属桶。",5,Purple,1,1,3060,"Tool",False
94,"GasCanS","塑料桶","盛装汽油的塑料桶。",4,Blue,1,1,1799,"Tool",False
95,"HammerL","大锤子","装修利器。",4,Blue,1,1,2313,"Tool",False
96,"HammerS","锤子","砸钉子好用。",2,Green,1,1,459,"Tool",False
97,"Lantern","煤油灯","没油了。",4,Green,1,1,566,"Tool",False
98,"Shovel","铲子","曾经有一位骑士用它打遍天下无敌手。但不算是一个好的武器。",3,Green,1,1,459,"Tool",False
99,"Telescope","望远镜","坏掉的望远镜，但镜片还是好的。",4,Green,1,1,689,"Tool",False
100,"Trap","捕兽陷阱","算是一块好废铁。",3,White,1,1,205,"Explosive",False
101,"Wrench03","撬棍","挥舞起来可以穿透几乎所有的护甲，在物理学上非常合理。",3,White,1,1,282,"Tool",False
102,"1_AccessoryTemplate","配件模板","可增加精确度。",9,White,1,1,17000,"Accessory",False
103,"CowMask","奶牛面具","外表十分凶狠的奶牛头面具。",2,Green,1,1,327,"Helmat",False
104,"Hat","牛仔帽","牛仔帽。",2,Green,1,1,167,"Helmat",False
105,"CocoMilk","可可奶","带有巧克力味道的牛奶。",1,White,1,1,124,"Food",False
106,"Soda","苏打水","清爽的苏打水。",1,White,1,1,102,"Food",False
107,"Waterbottle","水壶","行军水壶，吨吨吨。",4,Green,1,1,869,"Food",False
108,"Whisky","威士忌","上流，但是脱水。",5,Purple,1,1,3431,"Food",False
109,"Pen","钢笔","没有墨水的钢笔。",3,Blue,1,1,1368,"Daily",False
110,"Scissors","剪刀","手工剪刀。",1,White,1,1,128,"Daily",False
111,"Trophy","奖杯","金色的奖杯，有点掉漆。",4,Purple,1,1,2837,"Luxury",False
112,"Mike","麦克风","卡拉OK麦克风，唱歌让人快乐。",2,White,1,1,355,"Electric",False
113,"Radio","收音机","看起来像玩具，但确实也是个收音机。",2,Green,1,1,482,"Electric",False
114,"TOMSUNGPhone","TOMSUNG手机","TOMSUNG手机，看起来很久了。",3,Green,1,1,1063,"Electric",False
115,"Yogurt","酸奶","疯味酸奶。",3,White,3,1,324,"Food",False
116,"Newspaper","报纸","一份报纸，有年头了。",2,White,1,1,347,"Information",False
117,"Note","笔记","上面记着各种让人看不懂的公式。",2,Green,1,1,761,"Information",False
118,"Lipstick","口红","看起来很贵的口红，不知道是什么色号。",5,Orange,1,1,6587,"Luxury",False
119,"Ring","金戒指","上面镶嵌着黄色的宝石。有点旧，但感觉价值不菲。",4,Purple,1,1,3760,"Luxury",False
120,"RingToy","花花戒指","看起来像玩具，但是沉甸甸的。",1,Blue,1,1,1678,"Luxury",False
121,"Robot","智能机器人","没电了。",5,Orange,1,1,5783,"Luxury",False
122,"Rocket","玩具火箭","造型非常没有创意。",1,Green,1,1,875,"Luxury",False
123,"Skull","头骨饰品","不知道是什么生物的头骨。",9,Green,1,1,675,"Luxury",False
124,"Tambourine","手鼓","声音依然非常好听。",1,Blue,1,1,1265,"Luxury",False
125,"Trumpet","小号","吹起来应该没问题。",4,Purple,1,1,4015,"Luxury",False
126,"Xylophone","木琴","看起来音调不是很全。",1,Green,1,1,984,"Luxury",False
127,"Wheel","轮胎","打打气就能用。",3,Green,1,1,484,"Tool",False
128,"Yarn","线","缝制衣服用的线。",2,White,1,1,270,"Daily",False
129,"Pumpkin","南瓜","真的就是个南瓜。",3,Blue,1,1,420,"Helmat",False
130,"Basket","购物框","装不了多少东西。",2,White,1,1,176,"Daily",False
131,"Cup","杯子","喝水用的杯子。",1,White,1,1,177,"Daily",False
132,"Cake","蛋糕","不知道放了多久，但是看起来依然很好吃。",3,Green,3,1,406,"Food",False
133,"Carrot","胡萝卜","富含营养，看起来很新鲜。",1,White,3,1,120,"Food",False
134,"Bone","骨头玩具","不知道给谁玩的。",1,Green,1,1,780,"Luxury",False
135,"Heart","心","心形的饰物。",4,Purple,1,1,2552,"Luxury",False
136,"Injection","注射器","没用过的注射器。",2,White,3,1,295,"Medic",False
137,"Injection_A","黄针","提升25%移动速度，持续120s。",3,Green,3,1,629,"Injector",False
138,"HeadLantern","头灯","让你看的更远。",3,Blue,1,1,238,"Helmat",False
139,"Bullet_Template","子弹模板","子弹。",9,Blue,60,30,60,"Bullet",False
140,"Bullet_AR_L_Normal","L-普通弹","制式大口径子弹。",999,White,180,30,4,"Bullet",False
141,"Bullet_AR_L_Burn","L-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。",999,Green,180,30,18,"Bullet",False
142,"Bullet_AR_L_Piercing3","L-穿甲弹","能够穿透一定的防护。",999,White,180,30,10,"Bullet",False
143,"Bullet_AR_S_Normal","S-普通弹","制式小口径子弹。",999,White,240,30,3,"Bullet",False
144,"Bullet_AR_S_Dumdums","S-达姆弹","对肉体造成更高的伤害，但更难以穿透护甲。",999,White,240,30,10,"Bullet",False
145,"Bullet_AR_S_Burn","S-燃烧弹","装填可持续燃烧的弹药，造成灼烧。有概率点燃。",999,Green,240,30,15,"Bullet",False
146,"Bullet_SHOT_Normal","霰弹-鹿弹","打猎用的鹿弹，杀伤距离较近。",999,White,80,20,11,"Bullet",False
153,"Quest_Letter_Explorer","探索者的信","先行来到Duckov的探索者的信件。",2,White,1,1,1,"Quest",False
154,"Key_Dormitory103","宿舍楼103钥匙","一把宿舍楼的钥匙。也许可以打开103的门。",1,White,1,1,350,"Key",False
155,"Key_Dormitory106","宿舍楼106钥匙","一把宿舍楼的钥匙。也许可以打开106的门。",2,Green,1,1,578,"Key",False
157,"Bullet_AR_L_Poison","L-涂毒弹","子弹表面涂抹毒药。",999,Green,180,30,15,"Bullet",False
158,"Bullet_AR_L_Piercing5","L-高级穿甲弹","能够穿透大多数防护。",999,Green,180,30,35,"Bullet",False
159,"Bullet_AR_S_Piercing2","S-穿甲弹","能够穿透较低等级的护甲。",999,White,240,30,8,"Bullet",False
160,"Bullet_AR_S_Piercing4","S-高级穿甲弹","能够穿透更高等级的护甲。",999,Green,240,30,18,"Bullet",False
161,"Bullet_SHOT_Piranha","霰弹-食人鱼","穿甲能力弱，但对肉体造成更大伤害。",999,Green,80,20,30,"Bullet",False
162,"Bullet_SHOT_Burn","霰弹-龙息","造成大量灼烧伤害。",999,Blue,80,20,50,"Bullet",False
163,"Bullet_SHOT_Piercing4","霰弹-箭形弹","有更高的穿甲等级。",999,Blue,80,20,55,"Bullet",False
164,"Bullet_SHOT_Electric","霰弹-电击","电能装药，能够造成电击伤害。",999,Blue,80,20,60,"Bullet",False
165,"Bullet_Sniper_Normal","狙击-普通弹","普通的狙击弹药。",999,Blue,30,10,40,"Bullet",False
166,"Bullet_Sniper_Piercing3","狙击-穿甲弹","能够穿透较低等级的护甲。",999,Purple,30,10,80,"Bullet",False
167,"Bullet_Sniper_Electric","狙击-电击弹","电能装药，能够造成电击伤害。",999,Orange,30,10,180,"Bullet",False
168,"Bullet_Sniper_Space","狙击-空间弹","具有空间属性的狙击弹药。",999,Orange,30,10,600,"Bullet",False
169,"Bullet_Sniper_Piercing5","狙击-高级穿甲弹","能够穿透大多数护甲。",999,Orange,30,10,250,"Bullet",False
174,"Grip_AS_Lv_1","突击握把 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
175,"Grip_AS_Lv_2","突击握把 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
176,"Grip_AS_Lv_3","突击握把 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
177,"Grip_SP_Lv_1","快拆握把 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
178,"Grip_SP_Lv_2","快拆握把 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
179,"Grip_SP_Lv_3","快拆握把 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
180,"Grip_Verticle_Lv_1","垂直握把 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
181,"Grip_Verticle_Lv_2","垂直握把 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
182,"Grip_Verticle_Lv_3","垂直握把 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
183,"Muzzle_L_Type_1","大口径制退器 Lv.1","可增加精确度。",999,White,1,1,380,"Accessory",False
184,"Muzzle_L_Type_2","大口径制退器 Lv.2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
185,"Muzzle_L_Type_3","大口径制退器 Lv.3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
186,"Muzzle_Shot_Type_1","霰弹枪集束器 Lv.1","可增加精确度。",999,White,1,1,380,"Accessory",False
187,"Muzzle_Shot_Type_2","霰弹枪集束器 Lv.2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
188,"Muzzle_Shot_Type_3","霰弹枪集束器 Lv.3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
189,"Muzzle_Sniper_Type_1","狙击枪消音器 Lv.1","可增加精确度。",999,White,1,1,380,"Accessory",False
190,"Muzzle_Sniper_Type_2","狙击枪消音器 Lv.2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
191,"Muzzle_Sniper_Type_3","狙击枪消音器 Lv.3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
192,"Muzzle_S_Type_1","小口径制退器 Lv.1","可增加精确度。",999,White,1,1,380,"Accessory",False
193,"Muzzle_S_Type_2","小口径制退器 Lv.2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
194,"Muzzle_S_Type_3","小口径制退器 Lv.3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
195,"Scope_4X_Lv_1","4倍镜 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
196,"Scope_4X_Lv_2","4倍镜 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
197,"Scope_4X_Lv_3","4倍镜 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
198,"Scope_8X_Lv_1","8倍镜 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
199,"Scope_8X_Lv_2","8倍镜 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
200,"Scope_8X_Lv_3","8倍镜 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
201,"Scope_Digit_Lv_1","数字瞄具 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
202,"Scope_Digit_Lv_2","数字瞄具 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
203,"Scope_Digit_Lv_3","数字瞄具 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
204,"Scope_Holo_Lv_1","全息瞄具 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
205,"Scope_Holo_Lv_2","全息瞄具 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
206,"Scope_Holo_Lv_3","全息瞄具 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
207,"Scope_Long_Lv_1","快速瞄具 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
208,"Scope_Long_Lv_2","快速瞄具 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
209,"Scope_Long_Lv_3","快速瞄具 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
210,"Scope_RedDot_Lv_1","红点瞄具 Lv1","可增加精确度。",999,White,1,1,380,"Accessory",False
211,"Scope_RedDot_Lv_2","红点瞄具 Lv2","可增加精确度。",999,Blue,1,1,900,"Accessory",False
212,"Scope_RedDot_Lv_3","红点瞄具 Lv3","可增加精确度。",999,Purple,1,1,2100,"Accessory",False
213,"Stock_Rifle_Lv_1","步枪枪托 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
214,"Stock_Rifle_Lv_2","步枪枪托 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
215,"Stock_Rifle_Lv_3","步枪枪托 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
216,"Stock_Shot_Lv_1","霰弹枪托 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
217,"Stock_Shot_Lv_2","霰弹枪托 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
218,"Stock_Shot_Lv_3","霰弹枪托 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
219,"Stock_SMG_Lv_1","冲锋枪枪托 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
220,"Stock_SMG_Lv_2","冲锋枪枪托 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
221,"Stock_SMG_Lv_3","冲锋枪枪托 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
222,"Stock_Sniper_Lv_1","狙击枪枪托 Lv1","增强稳定性。",999,White,1,1,380,"Accessory",False
223,"Stock_Sniper_Lv_2","狙击枪枪托 Lv2","增强稳定性。",999,Blue,1,1,900,"Accessory",False
224,"Stock_Sniper_Lv_3","狙击枪枪托 Lv3","增强稳定性。",999,Purple,1,1,2100,"Accessory",False
225,"Tec_Lazer_Lv_1","战术激光 Lv1","更加精准的射击。",999,White,1,1,380,"Accessory",False
226,"Tec_Lazer_Lv_2","战术激光 Lv2","更加精准的射击。",999,Blue,1,1,900,"Accessory",False
227,"Tec_Lazer_Lv_3","战术激光 Lv3","更加精准的射击。",999,Purple,1,1,2100,"Accessory",False
228,"Tec_Light_Lv_1","战术手电 Lv1","照射对方头部，使其变得脆弱。",999,White,1,1,380,"Accessory",False
229,"Tec_Light_Lv_2","战术手电 Lv2","照射对方头部，使其变得脆弱。",999,Blue,1,1,900,"Accessory",False
230,"Tec_Light_Lv_3","战术手电 Lv3","照射对方头部，使其变得脆弱。",999,Purple,1,1,2100,"Accessory",False
231,"Magazine_Rifle_Lv_1","大口径扩容弹匣 Lv1","增加弹药数量。",999,White,1,1,380,"Accessory",False
232,"Magazine_Rifle_Lv_2","大口径扩容弹匣 Lv2","增加弹药数量。",999,Blue,1,1,900,"Accessory",False
233,"Magazine_Rifle_Lv_3","大口径扩容弹匣 Lv3","增加弹药数量。",999,Purple,1,1,2100,"Accessory",False
234,"Magazine_SMG_Lv_1","小口径扩容弹匣 Lv1","增加弹药数量。",999,White,1,1,380,"Accessory",False
235,"Magazine_SMG_Lv_2","小口径扩容弹匣 Lv2","增加弹药数量。",999,Blue,1,1,900,"Accessory",False
236,"Magazine_SMG_Lv_3","小口径扩容弹匣 Lv3","增加弹药数量。",999,Purple,1,1,2100,"Accessory",False
238,"L_AK102_Lv_2","AK-103","AK-47的现代化版本，继承了其可靠性的同时，在各方面也有进一步的提升。",4,Orange,1,1,6049,"Weapon",False
240,"L_AK47_Lv_2","AK-47","经典的制式步枪，威力较大，结构简单，维护方便，但后座力较大，精度一般。",3,Purple,1,1,3550,"Weapon",False
242,"L_MF_Lv_2","MF","装备非常广泛的制式武器，精度高，后坐力小的同时能支持大部分配件的安装。",3,Purple,1,1,3956,"Weapon",False
244,"L_RPK_Lv_2","RPK","基于AK-47设计的轻型机枪，载弹量巨大，通常用于火力支援。",5,LightRed,1,1,12181,"Weapon",False
246,"Sniper_VPO","VPO-101","射击精度高且有不俗的爆头伤害，虽然口径看上去是步枪，但在鸭科夫被当作狙击枪使用。",3,Orange,1,1,5086,"Weapon",False
248,"Shot_Hand_Lv_2","土制猎枪","小作坊里手搓的霰弹枪，各方面的性能表现都非常一般。",1,White,1,1,264,"Weapon",False
250,"Shot_MP155_Lv_2","MP-155","泵动式霰弹枪，虽然需要手动装填，但载弹量在霰弹枪中相当不错。",2,Blue,1,1,1703,"Weapon",False
252,"S_AK74_Lv_2","AK-74U","基于AK-47进行了短管设计，因为威力下降，被鸭鸭们降格为了冲锋枪。",2,Blue,1,1,1510,"Weapon",False
254,"S_GLick_Lv_2","格力克","重量轻，可靠性高，弹容量大，深受各路鸭鸭的喜欢。",2,Green,1,1,1030,"Weapon",False
256,"S_MMG_Lv_2","MMG","MF的前身，各方面都非常均衡的制式武器。",3,Purple,1,1,4242,"Weapon",False
258,"S_MP7_Lv_2","MP7","射程和稳定性都相当出色的制式冲锋枪，对配件的支持也相当好。",3,Purple,1,1,4042,"Weapon",False
260,"S_UAK45_Lv_2","UP-45","各方面表现都相当均衡的民用冲锋枪。",2,Blue,1,1,1678,"Weapon",False
262,"S_UZI_Lv_2","UZI","非常紧凑轻巧的制式冲锋枪，相较于其他冲锋枪有非常高的爆头伤害。",3,Purple,1,1,3473,"Weapon",False
263,"Grip_AS_Lv_4","突击握把 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
264,"Grip_SP_Lv_4","快拆握把 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
265,"Grip_Verticle_Lv_4","垂直握把 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
266,"Magazine_Rifle_Lv_4","大口径扩容弹匣 Lv4","增加弹药数量。",999,Orange,1,1,5000,"Accessory",False
267,"Magazine_SMG_Lv_4","小口径扩容弹匣 Lv4","增加弹药数量。",999,Orange,1,1,5000,"Accessory",False
268,"Muzzle_L_Type_4","大口径制退器 Lv.4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
269,"Muzzle_Shot_Type_4","霰弹枪集束器 Lv.4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
270,"Muzzle_Sniper_Type_4","狙击枪消音器 Lv.4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
271,"Muzzle_S_Type_4","小口径制退器 Lv.4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
272,"Scope_4X_Lv_4","4倍镜 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
273,"Scope_8X_Lv_4","8倍镜 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
274,"Scope_Digit_Lv_4","数字瞄具 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
275,"Scope_Holo_Lv_4","全息瞄具 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
276,"Scope_Long_Lv_4","快速瞄具 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
277,"Scope_RedDot_Lv_4","红点瞄具 Lv4","可增加精确度。",999,Orange,1,1,5000,"Accessory",False
278,"Stock_Rifle_Lv_4","步枪枪托 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
279,"Stock_Shot_Lv_4","霰弹枪托 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
280,"Stock_SMG_Lv_4","冲锋枪枪托 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
281,"Stock_Sniper_Lv_4","狙击枪枪托 Lv4","增强稳定性。",999,Orange,1,1,5000,"Accessory",False
282,"Tec_Lazer_Lv_4","战术激光 Lv4","更加精准的射击。",999,Orange,1,1,5000,"Accessory",False
283,"Tec_Light_Lv_4","战术手电 Lv4","照射对方头部，使其变得脆弱。",999,Orange,1,1,5000,"Accessory",False
284,"1_Blueprint","蓝图模板","用于研发武器：XXXX。",9,LightRed,1,1,10500,"Formula",False
285,"BP_AK102","蓝图：AK-103","用于在工作台研发武器：AK-103。",4,Purple,1,1,50,"Formula",False
286,"BP_AK47","蓝图：AK-47","用于在工作台研发武器：AK-47。",3,Blue,1,1,50,"Formula",False
